Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,
Belize,BLZ,790,790,800,800,800,810,810,810,820,820,830,830,840,840,850,850,860,930,940,960,970,970,970,970,1010,1030,1120,1150,1200,1260,1300,1360,1430,1430,1460,1470,1480,1480,1500,1490,1490,1520,1520,1520,1520,1520,1520,1520,1550,1570,1570,1600,1600,1600,1600,1600,,,,,,,
Bermuda,BMU,4.00000006,3.000000119,3.000000119,4.00000006,4.00000006,4.00000006,4.00000006,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,4.00000006,4.00000006,4.00000006,4.00000006,4.00000006,4.00000006,4.00000006,4.00000006,4.00000006,4.00000006,4.00000006,4.00000006,4.00000006,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,3.000000119,,,,,,,
Bolivia,BOL,300420,299420,298070,298780,299150,299510,299880,300240,302610,302970,307340,312700,313080,318430,323800,324160,329530,329890,335250,335620,340990,341360,341730,347170,346870,352030,352270,352500,354700,354550,357960,358310,362130,363510,366000,366840,368740,369820,370690,371430,371560,373110,366470,366170,369620,371120,373900,374850,376730,375160,375570,376510,377380,377020,376610,376850,,,,,,,
Brazil,BRA,1505310,1559130,1615110,1660410,1703950,1750940,1795890,1852230,1937780,1953970,1996320,2028370,2058610,2100430,2134160,2160070,2185500,2200390,2225130,2242780,2258240,2281360,2288210,2299240,2310410,2340550,2357910,2376870,2394320,2416080,2449410,2467090,2494630,2514180,2584720,2590190,2595660,2601120,2607590,2614060,2634650,2658680,2684690,2721320,2724325.938,2727840,2716380,2735000,2735400,2734630,2753730,2756070,2795620,2835790,2840830,2835460,,,,,,,
Barbados,BRB,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,180,180,180,170,170,160,160,160,160,160,160,150,140,130,125,120,110,100,,,,,,,
Brunei Darussalam,BRN,210,210,210,240,240,230,230,240,240,240,190,180,180,180,180,170,150,150,150,140,140,130,130,120,120,120,120,120,120,110,110,110,110,110,100,100,100,100,100,100,110,110,110,110,110,103.0000019,113.9999962,113.9999962,133.9999962,133.9999962,133.9999962,133.9999962,143.9999962,143.9999962,143.9999962,143.9999962,,,,,,,
Bhutan,BTN,3610,3630,3630,3650,3660,3680,3680,3700,3700,3820,3820,3850,3850,3920,3920,3980,4000,4000,4050,4130,4130,4180,4300,4440,4440,4440,4650,4600,4520,4540,5040,5040,5050,5090,5650,5700,5720,5720,5720,5300,5350,5350,5370,5840,5930,5770,5630,5212.999878,5200,5200,5195.999756,5195.999756,5195.999756,5255.999756,5255.999756,5190,,,,,,,
Botswana,BWA,260000,260000,260000,260000,260010,260010,260010,260010,260010,260010,260010,260020,260020,260020,260020,260020,260020,260020,260040,260040,260040,260060,260060,260060,260080,260080,260100,260100,260150,260210,259010,258510,259510,259960,259460,259460,259010,258310,258410,259510,258010,258460,257960,258270,258415,258030,257840,258810,259180,258610,259260,258870,258790,260010,258615.9961,258615.9961,,,,,,,
Central African Republic,CAF,47380,47480,47560,47700,47800,47900,48000,48100,48200,48300,48400,48500,48600,48700,48900,49000,49100,49200,49300,49450,49450,49600,49700,49820,49830,50040,50050,50060,50060,50060,50080,50200,50200,50200,50100,50220,51230,51490,51490,51490,51490,51490,51950,52150,52150,52100,52100,52100,52300,50800,50800,50800,50800,50800,50800,50800,,,,,,,
Canada,CAN,698250,699530,700810,702080,703370,704640,701040,697430,693820,690210,686610,686130,685660,685190,684720,684250,679180,674110,669030,663960,658890,662760,666640,670510,674390,678250,678120,677980,677820,677680,677530,678140,678740,679340,679940,680550,679440,678340,677230,676130,675020,675170,675350,675510,675690,659540,652823.9844,646108.0078,639401.9922,632686.0156,625970,626118.0078,626266.0156,626413.9844,626561.9922,626710,,,,,,,
Central Europe and the Baltics,CEB,476790,476470,475850,476230,474830,475110,474340,475330,474350,473580,473070,471820,470470,470060,468950,471090,470540,469850,468720,467790,466380,466180,466080,466570,466420,466060,466390,465880,462170,461950,461720,560840,624860,621440,615910,610780,610260,605100,604520,591050,575370,562642.0001,553227.0001,545347.0007,545879.0002,544531.9995,533504.9988,536185.6006,536005.1996,526624.6002,528593.0981,524572.8998,518923.1,518224.4,519249.8975,516233.7988,,,,,,,
Switzerland,CHE,17363.00049,17334.00024,17191.99951,17104.00024,17015.99976,16956.99951,16888.00049,16860.99976,16874.00024,16739.00024,16654.00024,16628.00049,16536.99951,16475,16438.00049,16425.99976,16414.00024,16449.00024,16586.99951,16539.00024,16490,16440.99976,16393.00049,16345,16295.99976,16248.00049,16200,16150.99976,16104.00024,16056.99951,16009.00024,15961.99951,15915,15868.00049,15820.99976,15788.00049,15756.99951,15723.00049,15690.99976,15660,15625.99976,15595,15561.99951,15531.99951,15500,15468.00049,15435,15405.99976,15375,15345.99976,15315.99976,15286.99951,15248.80005,15219.00024,15189.30054,15159.69971,,,,,,,
Channel Islands,CHI,90,90,90,90,90,90,90,90,88.99999619,88.99999619,88.99999619,88.99999619,88.00000191,88.00000191,88.00000191,88.00000191,88.00000191,86.99999809,86.99999809,86.99999809,86.99999809,86.99999809,86.00000381,86.00000381,86.00000381,86.00000381,86.00000381,85,85,85,85,85,83.99999619,83.99999619,83.99999619,83.99999619,81.00000381,80,79.00000095,79.00000095,75,74.00000095,74.00000095,75,75.99999905,83.99999619,81.99999809,81.00000381,88.00000191,91.00000381,96.00000381,95,94.20000076,94.79999542,91.99999809,91.99999809,,,,,,,
Chile,CHL,133860,135560,137260,138980,140690,142380,144580,146780,148480,151000,153500,156000,158380,162500,165500,172000,171000,170000,169000,168500,167500,166000,165500,165000,164720,164360,161630,161540,161690,158990,157890,155560,154770,154500,153300,152320,152220,152190,150600,151100,151500,155650,154250,159350,158850,158000,157320,157840,157820,157430,157890,157550,157810,157612.002,157850,157417.998,,,,,,,
China,CHN,3423500,3451000,3479500,3508000,3546000,3582000,3618000,3654000,3700000,3746000,3792500,3838700,3894800,3961000,4007100,4066600,4126000,4184700,4231900,4276040,4329090,4425180,4529280,4645370,4763470,4824560,4877660,4933750,4994850,5056940,5113790,5143140,5182230,5228330,5228330,5228720,5233330,5236830,5231330,5220030,5199150,5185330,5161330,5164330,5174330,5141330,5145680,5145490,5145530,5145500,5145530,5145530,5145530,5145530,5278330,5277330,,,,,,,
